58.40,58.43,58.34,58.40
58.40,58.48,58.34,58.40
58.40,58.57,58.15,58.40
58.40,58.55,58.25,58.40
58.40,58.47,58.39,58.40
58.40,58.57,58.33,58.40
58.40,58.44,58.27,58.40
58.40,58.62,51.16,51.33
51.33,51.82,51.32,51.72
51.72,52.62,51.51,52.51
52.51,53.77,52.26,53.68
53.68,54.66,53.52,54.48
54.48,54.66,52.87,52.90
52.90,54.17,52.77,54.07
54.07,55.71,53.90,55.66
55.66,59.30,55.51,59.20
59.20,59.32,57.03,57.22
57.22,59.34,57.01,59.20
59.20,67.28,59.07,67.06
67.06,79.18,66.94,79.13
79.13,81.24,79.04,81.10
81.10,81.18,79.78,79.92
79.92,80.15,77.54,77.77
77.77,89.07,77.71,88.97
88.97,101.40,88.86,101.17
101.17,109.58,101.05,109.44
109.44,122.63,109.29,122.43
122.43,122.44,107.08,107.08
107.08,107.32,106.37,106.39
106.39,107.88,106.37,107.87
107.87,112.83,107.78,112.59
112.59,112.81,112.20,112.28
112.28,131.11,112.10,131.10
131.10,131.13,126.36,126.37
126.37,126.50,114.07,114.17
114.17,114.31,113.45,113.70
113.70,116.70,113.58,116.63
116.63,132.53,116.45,132.28
132.28,146.01,132.12,145.82
145.82,145.93,141.22,141.43
141.43,151.61,141.31,151.57
151.57,151.79,143.86,144.09
144.09,145.43,144.01,145.27
145.27,145.33,131.56,131.73
131.73,131.92,120.45,120.47
120.47,120.61,120.04,120.17
120.17,120.21,119.58,119.66
119.66,119.70,114.45,114.52
114.52,119.12,114.31,119.10
119.10,119.85,118.96,119.82
119.82,131.67,119.78,131.56
131.56,131.75,122.15,122.31
122.31,122.38,116.81,116.87
116.87,117.05,110.01,110.26
110.26,110.36,109.15,109.15
109.15,110.48,108.92,110.26
110.26,113.25,110.11,113.24
113.24,113.41,112.82,113.06
113.06,113.12,111.01,111.10
111.10,118.21,110.86,118.20
118.20,121.96,118.07,121.80
121.80,121.93,121.05,121.30
121.30,121.33,115.96,116.10
116.10,116.12,114.91,115.00
115.00,115.23,106.07,106.20
106.20,106.20,98.60,98.70
98.70,103.65,98.63,103.50
103.50,111.77,103.39,111.60
111.60,111.60,110.35,110.60
110.60,110.66,107.77,108.00
108.00,108.01,105.67,105.80
105.80,105.82,100.72,100.90
100.90,100.91,94.37,94.50
94.50,94.50,84.88,85.00
85.00,85.19,76.68,76.90
76.90,78.49,76.68,78.30
78.30,83.43,78.07,83.20
83.20,93.44,83.11,93.40
93.40,96.14,93.23,96.00
96.00,96.20,95.79,95.80
95.80,101.01,95.72,101.00
101.00,106.27,100.76,106.10
106.10,111.65,105.93,111.50
111.50,112.73,111.29,112.69
112.69,112.70,106.32,106.55
106.55,106.56,97.20,97.26
97.26,97.34,91.85,92.02
92.02,92.14,90.75,90.99
90.99,95.97,90.90,95.94
